Method,Endpoint,RequestFields,SourceFiles,SourceLocations,Client
GET,{VITE_APIURL}Bookings/BookingId?Id={OptionalMemberExpression} OR {OptionalMemberExpression},,src/components/CompleteServiceReportLayer.jsx,src/components/CompleteServiceReportLayer.jsx:1079,axios
GET,{VITE_APIURL}Bookings/BookingId?Id={priceModalRow.booking.BookingID}&dealerId={{localStorage.getItem}},,src/components/DealerDashboardLayer.jsx,src/components/DealerDashboardLayer.jsx:156,axios
POST,{VITE_APIURL}Bookings/Cancel,BookingID,src/components/BookingViewLayer.jsx,src/components/BookingViewLayer.jsx:2572,axios
POST,{VITE_APIURL}Bookings/convert-inspection-to-service,"bookingId, confirmStatus",src/components/BookingViewLayer.jsx,src/components/BookingViewLayer.jsx:1741,axios
GET,{VITE_APIURL}Bookings/GetAssignedBookings?Id={TechnicianID},,src/components/TechnicianViewLayer.jsx,src/components/TechnicianViewLayer.jsx:51,axios
GET,{VITE_APIURL}Bookings/GetBookingServicesByRole?role=FieldAdvisor&employeeId={{localStorage.getItem}}&type=notconfirm,,src/components/FieldAdvisorDashboardLayer.jsx,src/components/FieldAdvisorDashboardLayer.jsx:211,axios
GET,{VITE_APIURL}Bookings/GetBookingServicesByRole?role=Supervisor&employeeId={{localStorage.getItem}}&type=notconfirm,,src/components/SupervisorHeadDashboardLayer.jsx,src/components/SupervisorHeadDashboardLayer.jsx:125,axios
GET,{VITE_APIURL}Bookings/notifications?userId={userId}&userRole={{roleFromStorage.toLowerCase}} OR customer,,src/services/notificationService.js,src/services/notificationService.js:52,axios
PUT,{VITE_APIURL}Bookings/notifications/{notificationId}/read,,src/services/notificationService.js,src/services/notificationService.js:72,axios
POST,{VITE_APIURL}cancellations,"AssignedBy, AssingedTimeSlot, BookingID, Role, ServiceType, TechID, addOnID, addOnId, addOnIds, addOns, assignDate, assignTimeSlot, bookingID, bookingId, bookingIds, cancelledBy, completedBy, completedRole, createdBy, endTimeslot, fieldAdvisorId, ids, is_Completed, lastReworkID, leadId, reason, refundStatus, role, scheduledDate, status, statusName, supervisorHeadId, supervisorID, techID, ticketId, timeSlot, timeslot",src/components/BookingViewLayer.jsx,src/components/BookingViewLayer.jsx:5185,axios
GET,{VITE_APIURL}Category,,src/components/CaseStudiesAddLayer.jsx; src/components/CaseStudiesLayer.jsx; src/components/DealerAddLayer.jsx; src/components/ExplanationsAddLayer.jsx; src/components/FaqsAddLayer.jsx; src/components/IncludesLayer.jsx; src/components/SeoAddLayer.jsx; src/components/ServiceCategoriesLayer.jsx; src/components/ServicePlanAddLayer.jsx; src/components/ServicePlanListLayer.jsx; src/components/ServiceSubCategories1Layer.jsx; src/components/ServiceSubCategories2Layer.jsx,src/components/CaseStudiesAddLayer.jsx:63; src/components/CaseStudiesLayer.jsx:42; src/components/DealerAddLayer.jsx:243; src/components/ExplanationsAddLayer.jsx:75; src/components/FaqsAddLayer.jsx:74; src/components/IncludesLayer.jsx:79; src/components/SeoAddLayer.jsx:76; src/components/ServiceCategoriesLayer.jsx:83; src/components/ServicePlanAddLayer.jsx:117; src/components/ServicePlanListLayer.jsx:40; src/components/ServiceSubCategories1Layer.jsx:72; src/components/ServiceSubCategories2Layer.jsx:67,axios
GET,{VITE_APIURL}Category/{CategoryID},,src/components/ServiceCategoryViewLayer.jsx,src/components/ServiceCategoryViewLayer.jsx:20,axios
POST,{VITE_APIURL}Category/AddCategory,"CreatedBy, IconImage1, ModifiedBy, ThumbnailImage1, {key}",src/components/ServiceCategoriesLayer.jsx,src/components/ServiceCategoriesLayer.jsx:120,axios
PUT,{VITE_APIURL}Category/UpdateCategory,"CreatedBy, IconImage1, ModifiedBy, ThumbnailImage1, {key}",src/components/ServiceCategoriesLayer.jsx,src/components/ServiceCategoriesLayer.jsx:117,axios
GET,{VITE_APIURL}City,,src/components/AreaLayer.jsx; src/components/CityLayer.jsx; src/components/CustomerAddLayer.jsx; src/components/DealerAddLayer.jsx; src/components/DealerProfileLayer.jsx; src/components/DistributorLayer.jsx; src/components/EmployeeAddLayer.jsx; src/components/TechniciansAddLayer.jsx,src/components/AreaLayer.jsx:73; src/components/CityLayer.jsx:49; src/components/CustomerAddLayer.jsx:75; src/components/DealerAddLayer.jsx:235; src/components/DealerProfileLayer.jsx:158; src/components/DistributorLayer.jsx:104; src/components/EmployeeAddLayer.jsx:191; src/components/TechniciansAddLayer.jsx:137,axios
POST,{VITE_APIURL}City,"CityName, IsActive, Pincode, StateID",src/components/CityLayer.jsx,src/components/CityLayer.jsx:90,axios
PUT,{VITE_APIURL}City,"CityID, CityName, IsActive, Pincode, StateID",src/components/CityLayer.jsx,src/components/CityLayer.jsx:76,axios
GET,{VITE_APIURL}CompanyInfo,,src/components/CompanyInformationLayer.jsx,src/components/CompanyInformationLayer.jsx:31,axios
DELETE,{VITE_APIURL}CompanyInfo/{id},,src/components/CompanyInformationLayer.jsx,src/components/CompanyInformationLayer.jsx:126,axios
POST,{VITE_APIURL}CompanyInfo/InsertCompanyInfo,"...{formData}, ...{rest}, CreatedBy, ModifiedBy",src/components/CompanyInformationLayer.jsx,src/components/CompanyInformationLayer.jsx:77,axios
PUT,{VITE_APIURL}CompanyInfo/UpdateCompanyInfo,"...{formData}, ...{rest}, CreatedBy, ModifiedBy",src/components/CompanyInformationLayer.jsx,src/components/CompanyInformationLayer.jsx:64,axios
GET,{VITE_APIURL}Contact,,src/components/ContactsLayer.jsx; src/components/DealerServicePriceLayer.jsx,src/components/ContactsLayer.jsx:16; src/components/DealerServicePriceLayer.jsx:16,axios
GET,{VITE_APIURL}Coupons,,src/components/CouponLayer.jsx,src/components/CouponLayer.jsx:31,axios
POST,{VITE_APIURL}Coupons,"...{ObjectExpression} OR {ObjectExpression}, MaxDisAmount, MinBookingAmount, code, description, discountType, discountValue, isActive, maxUsagePerUser, validFrom, validTill",src/components/CouponLayer.jsx,src/components/CouponLayer.jsx:80,axios
PUT,{VITE_APIURL}Coupons,"...{ObjectExpression} OR {ObjectExpression}, MaxDisAmount, MinBookingAmount, code, description, discountType, discountValue, isActive, maxUsagePerUser, validFrom, validTill",src/components/CouponLayer.jsx,src/components/CouponLayer.jsx:77,axios
GET,{VITE_APIURL}customer,,src/components/TicketsAddLayer.jsx,src/components/TicketsAddLayer.jsx:85,axios
GET,{VITE_APIURL}Customer,,src/components/CustomerLayer.jsx,src/components/CustomerLayer.jsx:23,axios
GET,{VITE_APIURL}Customer/get-customer-bank-details?customerId={customerId},,src/components/BasicInformationLayer.jsx; src/components/RefundLayer.jsx; src/components/TicketInnerLayer.jsx,src/components/BasicInformationLayer.jsx:177; src/components/RefundLayer.jsx:88; src/components/RefundLayer.jsx:113; src/components/TicketInnerLayer.jsx:113,axios
GET,{VITE_APIURL}Customer/Id?Id={CustomerID},,src/components/CustomerViewLayer.jsx,src/components/CustomerViewLayer.jsx:30,axios
POST,{VITE_APIURL}Customer/upsert-customer-bank-details,"BrandID, FuelTypeID, Id, KmDriven, ModelID, RegistrationNumber, VehicleId, YearOfPurchase, accountHolderName, accountNumber, bankName, branch, custID, customerId, id, ifscCode, upiId, userId",src/components/BasicInformationLayer.jsx; src/components/TicketInnerLayer.jsx,src/components/BasicInformationLayer.jsx:445; src/components/TicketInnerLayer.jsx:320,axios
GET,{VITE_APIURL}Dashboard,,src/components/child/UnitCountSeven.jsx,src/components/child/UnitCountSeven.jsx:37,axios
GET,{VITE_APIURL}Dashboard/MothlyIncome,,src/components/child/IncomeVsExpense.jsx,src/components/child/IncomeVsExpense.jsx:14,axios
GET,{VITE_APIURL}Dealer,,src/components/BookServicesLayer.jsx; src/components/EmployeeAddLayer.jsx; src/components/ExpenditureLayer.jsx; src/components/TechniciansAddLayer.jsx,src/components/BookServicesLayer.jsx:226; src/components/EmployeeAddLayer.jsx:172; src/components/ExpenditureLayer.jsx:118; src/components/TechniciansAddLayer.jsx:144,axios
POST,{VITE_APIURL}Dealer,"Address, BankAccountNumber, BankName, BranchName, CategoryIDs, CategoryNames, CityID, CreatedDate, DistributorID, Email, FullName, GSTNumber, IFSCCode, IsActive, Latitude, Longitude, PasswordHash, PhoneNumber, Rating, StateID, address, amount, bankAccountNumber, bankName, branchName, categoryIds, cityID, commissionType, createdDate, dealerID, dealerType, distributorID, email, fullName, gstNumber, ifscCode, isActive, latitude, longitude, modifiedDate, passwordHash, phoneNumber, rating, stateID",src/components/DealerAddLayer.jsx,src/components/DealerAddLayer.jsx:385,axios
PUT,{VITE_APIURL}Dealer,"Address, BankAccountNumber, BankName, BranchName, CategoryIDs, CategoryNames, CityID, CreatedDate, DistributorID, Email, FullName, GSTNumber, IFSCCode, IsActive, Latitude, Longitude, PasswordHash, PhoneNumber, Rating, StateID, address, amount, bankAccountNumber, bankName, branchName, categoryIds, cityID, commissionType, createdDate, dealerID, dealerType, distributorID, email, fullName, gstNumber, ifscCode, isActive, latitude, longitude, modifiedDate, passwordHash, phoneNumber, rating, stateID",src/components/DealerAddLayer.jsx; src/components/DealerProfileLayer.jsx,src/components/DealerAddLayer.jsx:344; src/components/DealerProfileLayer.jsx:228,axios
GET,{VITE_APIURL}Dealer OR {VITE_APIURL}Dealer?role={{localStorage.getItem}}&DistributorID={{localStorage.getItem}},,src/components/DealerLayer.jsx,src/components/DealerLayer.jsx:29,axios
GET,{VITE_APIURL}Dealer/{DealerID},,src/components/DealerViewLayer.jsx,src/components/DealerViewLayer.jsx:21,axios
POST,{VITE_APIURL}Dealer/DealerApproveBookingBulk,"createdBy, dealerId, ids, reason, status, type",src/components/BookServicesLayer.jsx; src/components/DealerBookingsView.jsx,src/components/BookServicesLayer.jsx:1407; src/components/DealerBookingsView.jsx:541,axios
GET,{VITE_APIURL}Dealer/dealerid?dealerid={{localStorage.getItem}},,src/components/DealerProfileLayer.jsx,src/components/DealerProfileLayer.jsx:104,axios
GET,{VITE_APIURL}Dealer/dealerid?dealerid={DealerID},,src/components/DealerAddLayer.jsx,src/components/DealerAddLayer.jsx:157,axios
POST,{VITE_APIURL}Dealer/GenerateDealerInvoice,"bookingID, dealerID",src/components/BookingViewLayer.jsx; src/components/InvoiceViewLayer.jsx,src/components/BookingViewLayer.jsx:3370; src/components/InvoiceViewLayer.jsx:87; src/components/InvoiceViewLayer.jsx:280,axios
GET,{VITE_APIURL}Dealer/GetDealerDashboardSummary?DealerID={{localStorage.getItem}},,src/components/DealerDashboardLayer.jsx,src/components/DealerDashboardLayer.jsx:180,axios
GET,{VITE_APIURL}Dealer/GetDealerExpenditures,,src/components/DealerPaymentsLayer.jsx,src/components/DealerPaymentsLayer.jsx:59,axios
GET,{VITE_APIURL}Dealer/GetDealerServicesByStatus?DealerID={{localStorage.getItem}},,src/components/DealerServicesLayer.jsx,src/components/DealerServicesLayer.jsx:36,axios
POST,{VITE_APIURL}Dealer/SendDealerInvoice,"bookingID, dealerID",src/components/InvoiceViewLayer.jsx,src/components/InvoiceViewLayer.jsx:137,axios
GET,{VITE_APIURL}Departments,,src/components/DepartmentsLayer.jsx; src/components/DesignationsLayer.jsx; src/components/EmployeeAddLayer.jsx; src/components/EmployeeLayer.jsx; src/components/LeadsAssignLayer.jsx; src/components/SupervisorAssignBookingLayer.jsx; src/components/TelecalerAssignTicketLayer.jsx,src/components/DepartmentsLayer.jsx:37; src/components/DesignationsLayer.jsx:47; src/components/EmployeeAddLayer.jsx:376; src/components/EmployeeLayer.jsx:55; src/components/LeadsAssignLayer.jsx:148; src/components/SupervisorAssignBookingLayer.jsx:186; src/components/TelecalerAssignTicketLayer.jsx:76,axios
POST,{VITE_APIURL}Departments,"createdBy, departmentName, isActive",src/components/DepartmentsLayer.jsx,src/components/DepartmentsLayer.jsx:78,axios
PUT,{VITE_APIURL}Departments,"departmentName, deptId, isActive, modifiedBy",src/components/DepartmentsLayer.jsx,src/components/DepartmentsLayer.jsx:66,axios
GET,{VITE_APIURL}Designations,,src/components/DesignationsLayer.jsx; src/components/EmployeeAddLayer.jsx,src/components/DesignationsLayer.jsx:66; src/components/EmployeeAddLayer.jsx:442,axios
POST,{VITE_APIURL}Designations,"deptId, designation_name, is_Head, level",src/components/DesignationsLayer.jsx,src/components/DesignationsLayer.jsx:119,axios
PUT,{VITE_APIURL}Designations,"...{payload}, id",src/components/DesignationsLayer.jsx,src/components/DesignationsLayer.jsx:112,axios
GET,{VITE_APIURL}Distributors,,src/components/DealerAddLayer.jsx; src/components/DistributorLayer.jsx; src/components/TechniciansAddLayer.jsx,src/components/DealerAddLayer.jsx:217; src/components/DistributorLayer.jsx:62; src/components/TechniciansAddLayer.jsx:163,axios
POST,{VITE_APIURL}Distributors,,src/components/DistributorLayer.jsx,src/components/DistributorLayer.jsx:165,axios
PUT,{VITE_APIURL}Distributors,,src/components/DistributorLayer.jsx,src/components/DistributorLayer.jsx:157,axios
GET,{VITE_APIURL}Employee,,src/components/AssignSupervisorArea.jsx; src/components/AssignTechnicianLayer.jsx; src/components/BasicInformationLayer.jsx; src/components/BookingLayer.jsx; src/components/BookingReportSortingLayer.jsx; src/components/BookingViewLayer.jsx; src/components/EmployeeAddLayer.jsx; src/components/EmployeeLayer.jsx; src/components/ForwardLeadsLayer.jsx; src/components/LeadViewLayer.jsx; src/components/LeadsAssignLayer.jsx; src/components/OrganicLeadsLayer.jsx; src/components/SupervisorAssignBookingLayer.jsx; src/components/TelecalerAssignBookingLayer.jsx; src/components/TelecalerAssignTicketLayer.jsx,src/components/AssignSupervisorArea.jsx:59; src/components/AssignTechnicianLayer.jsx:193; src/components/AssignTechnicianLayer.jsx:201; src/components/BasicInformationLayer.jsx:221; src/components/BookingLayer.jsx:175; src/components/BookingLayer.jsx:206; src/components/BookingReportSortingLayer.jsx:111; src/components/BookingViewLayer.jsx:910; src/components/BookingViewLayer.jsx:939; src/components/EmployeeAddLayer.jsx:397; src/components/EmployeeLayer.jsx:45; src/components/ForwardLeadsLayer.jsx:86; src/components/LeadsAssignLayer.jsx:170; src/components/LeadsAssignLayer.jsx:193; src/components/LeadViewLayer.jsx:552; src/components/OrganicLeadsLayer.jsx:139; src/components/SupervisorAssignBookingLayer.jsx:141; src/components/SupervisorAssignBookingLayer.jsx:208; src/components/SupervisorAssignBookingLayer.jsx:234; src/components/TelecalerAssignBookingLayer.jsx:42; src/components/TelecalerAssignTicketLayer.jsx:99; src/components/TelecalerAssignTicketLayer.jsx:121,axios
POST,{VITE_APIURL}Employee,"DealerIds, {key}",src/components/EmployeeAddLayer.jsx,src/components/EmployeeAddLayer.jsx:330,axios
PUT,{VITE_APIURL}Employee,"Address, DealerIds, DeptId, Designation_Id, Email, Id, Name, Password, PhoneNumber, ProfileImage1, Reporting_To, RoleId, RoleName, Status, {key}",src/components/EmployeeAddLayer.jsx; src/components/ViewProfileLayer.jsx,src/components/EmployeeAddLayer.jsx:323; src/components/ViewProfileLayer.jsx:219,axios
POST,{VITE_APIURL}Employee/BulkAssign,"deptId, employeeIds",src/components/EmployeeLayer.jsx,src/components/EmployeeLayer.jsx:115,axios
POST,{VITE_APIURL}Employee/forgot-password/reset,"employeeId, newPassword",src/components/ForgotPasswordLayer.jsx,src/components/ForgotPasswordLayer.jsx:157,axios
POST,{VITE_APIURL}Employee/forgot-password/send-otp,email,src/components/ForgotPasswordLayer.jsx,src/components/ForgotPasswordLayer.jsx:42; src/components/ForgotPasswordLayer.jsx:125,axios
POST,{VITE_APIURL}Employee/forgot-password/verify-otp,"email, otp",src/components/ForgotPasswordLayer.jsx,src/components/ForgotPasswordLayer.jsx:65,axios
GET,{VITE_APIURL}Employee/Id?Id={{localStorage.getItem}},,src/components/ViewProfileLayer.jsx,src/components/ViewProfileLayer.jsx:46,axios
GET,{VITE_APIURL}Employee/Id?Id={data.id},,src/components/SignInLayer.jsx,src/components/SignInLayer.jsx:62,axios
GET,{VITE_APIURL}Employee/Id?Id={EmployeeID},,src/components/EmployeeAddLayer.jsx; src/components/EmployeeViewLayer.jsx,src/components/EmployeeAddLayer.jsx:87; src/components/EmployeeViewLayer.jsx:21,axios
GET,{VITE_APIURL}Expenditure,,src/components/ExpenditureCategoryLayer.jsx; src/components/ExpenditureLayer.jsx,src/components/ExpenditureCategoryLayer.jsx:33; src/components/ExpenditureLayer.jsx:111,axios
POST,{VITE_APIURL}Expenditure,"categoryName, createdBy, expenseCategoryID, isActive, modifiedBy",src/components/ExpenditureCategoryLayer.jsx,src/components/ExpenditureCategoryLayer.jsx:79,axios
PUT,{VITE_APIURL}Expenditure,"categoryName, createdBy, expenseCategoryID, isActive, modifiedBy",src/components/ExpenditureCategoryLayer.jsx,src/components/ExpenditureCategoryLayer.jsx:66,axios
DELETE,{VITE_APIURL}Expenditure/{row.ExpenseCategoryID},,src/components/ExpenditureCategoryLayer.jsx,src/components/ExpenditureCategoryLayer.jsx:130,axios
POST,{VITE_APIURL}Expenditure/Expenditure,"...{basePayload}, addOnId, amount, billPath, bookingID, createdBy, dealerID, expenseCategoryID, expenseDate, expenseID, isActive, modifiedBy, notes, paymentMode, referenceNo, status, technicianID",src/components/DealerPaymentsLayer.jsx; src/components/ExpenditureLayer.jsx; src/components/RefundLayer.jsx,src/components/DealerPaymentsLayer.jsx:384; src/components/ExpenditureLayer.jsx:262; src/components/ExpenditureLayer.jsx:299; src/components/RefundLayer.jsx:437,axios
PUT,{VITE_APIURL}Expenditure/Expenditure,"...{basePayload}, amount, billPath, bookingID, createdBy, dealerID, expenseCategoryID, expenseDate, expenseID, isActive, modifiedBy, notes, paymentMode, referenceNo, status, technicianID",src/components/ExpenditureLayer.jsx,src/components/ExpenditureLayer.jsx:256; src/components/ExpenditureLayer.jsx:290,axios
DELETE,{VITE_APIURL}Expenditure/expenditure/{expenseID},,src/components/ExpenditureLayer.jsx,src/components/ExpenditureLayer.jsx:369,axios
GET,{VITE_APIURL}Expenditure/Expenditures,,src/components/ExpenditureLayer.jsx,src/components/ExpenditureLayer.jsx:101,axios
POST,{VITE_APIURL}Explanations,"answer, explanation, id, packageID, question, type",src/components/ExplanationsAddLayer.jsx,src/components/ExplanationsAddLayer.jsx:208,axios
PUT,{VITE_APIURL}Explanations,"answer, explanation, id, packageID, question, type",src/components/ExplanationsAddLayer.jsx,src/components/ExplanationsAddLayer.jsx:249,axios
GET,{VITE_APIURL}Explanations?Id={id},,src/components/ExplanationsAddLayer.jsx,src/components/ExplanationsAddLayer.jsx:94,axios
DELETE,{VITE_APIURL}Explanations/DeleteExplanation/{faqId},,src/components/ExplanationsLayer.jsx,src/components/ExplanationsLayer.jsx:48,axios
GET,{VITE_APIURL}Explanations/Packages,,src/components/ExplanationsLayer.jsx,src/components/ExplanationsLayer.jsx:24,axios
POST,{VITE_APIURL}FAQS,"answer, faQs, id, packageID, question, type",src/components/FaqsAddLayer.jsx,src/components/FaqsAddLayer.jsx:207,axios
PUT,{VITE_APIURL}FAQS,"answer, faQs, id, packageID, question, type",src/components/FaqsAddLayer.jsx,src/components/FaqsAddLayer.jsx:248,axios
GET,{VITE_APIURL}FAQS?Id={id},,src/components/FaqsAddLayer.jsx,src/components/FaqsAddLayer.jsx:93,axios
DELETE,{VITE_APIURL}FAQS/DeleteFAQ/{faqId},,src/components/FaqsLayer.jsx,src/components/FaqsLayer.jsx:48,axios
GET,{VITE_APIURL}FAQS/Packages,,src/components/FaqsLayer.jsx,src/components/FaqsLayer.jsx:24,axios
GET,{VITE_APIURL}Feedback,,src/components/ServicesRatingLayer.jsx,src/components/ServicesRatingLayer.jsx:23,axios
POST,{VITE_APIURL}Feedback,"AddressId, BrandID, City, Email, FuelTypeID, FullName, GSTName, GSTNumber, Id, KmDriven, Latitude, Longitude, ModelID, PhoneNumber, RegistrationNumber, VehicleId, YearOfPurchase, bookingID, created_By, custID, leadId, nextAction, nextFollowUp_Date, notes, serviceRating, serviceReview, status, techID, techRating, techReview, type",src/components/LeadViewLayer.jsx,src/components/LeadViewLayer.jsx:213,axios
GET,{VITE_APIURL}Feedback?EmployeeId={employeeId}&RoleName={roleName},,src/components/ServicesRatingLayer.jsx,src/components/ServicesRatingLayer.jsx:26,axios
GET,{VITE_APIURL}Feedback/feedback?bookingId={bookingId},,src/components/LeadViewLayer.jsx,src/components/LeadViewLayer.jsx:242,axios
PUT,{VITE_APIURL}Feedback/update-feedback-approval,"feedbackId, is_Approve",src/components/ServicesRatingLayer.jsx,src/components/ServicesRatingLayer.jsx:45,axios
DELETE,{VITE_APIURL}FuelTypes/,StateID,src/components/VehicleFuelLayer.jsx,src/components/VehicleFuelLayer.jsx:176,axios
GET,{VITE_APIURL}FuelTypes/GetFuelTypes,,src/components/AddLeadLayer.jsx; src/components/BasicInformationLayer.jsx; src/components/LeadViewLayer.jsx; src/components/ServiceInspectionRequestLayer.jsx; src/components/ServicePlanPriceAddLayer.jsx; src/components/ServicePlanPriceAddLayer11.jsx; src/components/ServicePlanPriceEditLayer.jsx; src/components/VehicleFuelLayer.jsx; src/components/VehicleModelLayer.jsx,src/components/AddLeadLayer.jsx:79; src/components/BasicInformationLayer.jsx:217; src/components/LeadViewLayer.jsx:494; src/components/ServiceInspectionRequestLayer.jsx:198; src/components/ServicePlanPriceAddLayer.jsx:60; src/components/ServicePlanPriceAddLayer11.jsx:110; src/components/ServicePlanPriceEditLayer.jsx:60; src/components/VehicleFuelLayer.jsx:64; src/components/VehicleModelLayer.jsx:84,axios
POST,{VITE_APIURL}FuelTypes/InsertFuelType,"CreatedBy, ModifiedBy, Status, {key}",src/components/VehicleFuelLayer.jsx,src/components/VehicleFuelLayer.jsx:134,axios
